2026-06-26 23:02:36 | INFO | [PERF] GET /api/notifications/count 200 | api=3325.4ms db=2797.7ms (connect=1723.5ms queries=1074.2ms x2)
2026-06-26 23:02:39 | INFO | [PERF] GET /api/notifications/count 200 | api=3118.8ms db=2602.3ms (connect=1516.4ms queries=1086.0ms x2)
2026-06-26 23:02:41 | INFO | [PERF] GET /create-user 200 | api=31598.1ms db=27427.0ms (connect=6388.4ms queries=21038.6ms x44)
2026-06-26 23:02:52 | INFO | [PERF] GET /api/company-information/logo 404 | api=10799.5ms db=1278.2ms (connect=752.4ms queries=525.8ms x1)
2026-06-26 23:02:56 | INFO | [PERF] GET /api/notifications/recent 200 | api=14664.7ms db=7472.4ms (connect=6412.3ms queries=1060.1ms x2)
2026-06-26 23:02:57 | INFO | [PERF] GET /api/notifications/count 200 | api=15411.6ms db=3854.6ms (connect=2802.1ms queries=1052.5ms x2)
2026-06-26 23:02:57 | INFO | [PERF] GET /api/notifications/count 200 | api=17233.8ms db=14698.6ms (connect=12533.5ms queries=2165.1ms x2)
2026-06-26 23:03:00 | INFO | [PERF] GET /api/notifications/count 200 | api=3770.0ms db=3126.1ms (connect=1563.5ms queries=1562.6ms x2)
2026-06-26 23:03:02 | INFO | [PERF] GET /api/users/176/permissions 200 | api=20622.8ms db=16731.8ms (connect=12934.4ms queries=3797.4ms x7)
2026-06-26 23:03:04 | INFO | [PERF] GET /api/users/176/permissions 200 | api=8677.5ms db=7673.1ms (connect=3741.5ms queries=3931.6ms x7)
2026-06-26 23:03:04 | INFO | [PERF] GET /api/notifications/count 200 | api=3550.9ms db=3115.7ms (connect=2069.9ms queries=1045.8ms x2)
2026-06-26 23:03:09 | INFO | [PERF] GET /api/notifications/count 200 | api=5322.1ms db=4749.9ms (connect=3120.6ms queries=1629.3ms x2)
2026-06-26 23:03:13 | INFO | [PERF] GET /api/notifications/count 200 | api=3748.4ms db=2734.6ms (connect=1597.3ms queries=1137.3ms x2)
2026-06-26 23:03:16 | INFO | [PERF] GET /api/notifications/count 200 | api=3190.5ms db=2664.7ms (connect=1597.3ms queries=1067.4ms x2)
2026-06-26 23:03:21 | INFO | [PERF] GET /api/notifications/count 200 | api=4697.8ms db=4108.5ms (connect=2966.7ms queries=1141.7ms x2)
2026-06-26 23:03:24 | INFO | [PERF] GET /api/notifications/count 200 | api=3185.2ms db=2661.6ms (connect=1593.6ms queries=1068.0ms x2)
2026-06-26 23:03:29 | INFO | [PERF] GET /api/notifications/count 200 | api=4237.3ms db=3713.7ms (connect=2134.6ms queries=1579.0ms x2)
2026-06-26 23:03:33 | INFO | [PERF] GET /api/notifications/count 200 | api=4098.8ms db=3142.8ms (connect=1588.9ms queries=1553.9ms x2)
2026-06-26 23:03:33 | INFO | [PERF] GET /api/permissions/role-preview 200 | api=19721.9ms db=1543.0ms (connect=940.4ms queries=602.6ms x1)
2026-06-26 23:03:33 | INFO | [PERF] GET /api/permissions/role-preview 200 | api=23591.4ms db=2084.0ms (connect=901.2ms queries=1182.7ms x1)
2026-06-26 23:03:36 | INFO | [PERF] GET /api/notifications/count 200 | api=3641.5ms db=3072.6ms (connect=1936.3ms queries=1136.3ms x2)
2026-06-26 23:03:40 | INFO | [PERF] GET /api/notifications/count 200 | api=3362.7ms db=2793.2ms (connect=1647.4ms queries=1145.8ms x2)
2026-06-26 23:03:43 | INFO | [PERF] GET /api/notifications/count 200 | api=3333.6ms db=2804.0ms (connect=1676.3ms queries=1127.6ms x2)
2026-06-26 23:03:47 | INFO | [PERF] GET /api/notifications/count 200 | api=4225.8ms db=3700.2ms (connect=2577.9ms queries=1122.4ms x2)
2026-06-26 23:03:51 | INFO | [PERF] GET /api/notifications/count 200 | api=3739.6ms db=3209.2ms (connect=2102.6ms queries=1106.6ms x2)
2026-06-26 23:03:55 | INFO | [PERF] GET /api/notifications/count 200 | api=3871.5ms db=2727.3ms (connect=1557.4ms queries=1169.8ms x2)
2026-06-26 23:04:00 | INFO | [PERF] GET /api/notifications/count 200 | api=5139.2ms db=4093.8ms (connect=2950.4ms queries=1143.4ms x2)
2026-06-26 23:04:04 | INFO | [PERF] GET /api/notifications/count 200 | api=3303.3ms db=2751.5ms (connect=1663.1ms queries=1088.4ms x2)
2026-06-26 23:04:08 | INFO | [PERF] GET /api/notifications/count 200 | api=4129.2ms db=3526.3ms (connect=1785.2ms queries=1741.1ms x2)
2026-06-26 23:04:11 | INFO | [PERF] PUT /update-user/176 200 | api=10131.4ms db=7981.1ms (connect=3286.0ms queries=4695.1ms x13)
2026-06-26 23:04:12 | INFO | [PERF] GET /api/notifications/count 200 | api=4349.3ms db=3727.7ms (connect=2410.0ms queries=1317.8ms x2)
2026-06-26 23:04:14 | INFO | [PERF] GET /manage-users 200 | api=2216.5ms db=1430.5ms (connect=873.2ms queries=557.3ms x1)
2026-06-26 23:04:23 | INFO | [PERF] GET /api/company-information/logo 404 | api=9110.2ms db=1374.1ms (connect=851.7ms queries=522.4ms x1)
2026-06-26 23:04:25 | INFO | [PERF] GET /api/notifications/count 200 | api=12723.9ms db=3637.5ms (connect=1893.5ms queries=1744.0ms x2)
2026-06-26 23:04:25 | INFO | [PERF] GET /api/notifications/count 200 | api=11569.7ms db=5885.1ms (connect=4744.3ms queries=1140.8ms x2)
2026-06-26 23:04:27 | INFO | [PERF] GET /api/notifications/recent 200 | api=13055.6ms db=10869.5ms (connect=9751.6ms queries=1117.9ms x2)
2026-06-26 23:04:29 | INFO | [PERF] GET /api/notifications/count 200 | api=4122.0ms db=3593.3ms (connect=2532.3ms queries=1061.0ms x2)
2026-06-26 23:04:34 | INFO | [PERF] GET /api/users 200 | api=19899.0ms db=17745.7ms (connect=11957.5ms queries=5788.2ms x6)
2026-06-26 23:04:37 | INFO | [PERF] GET /api/notifications/count 200 | api=7009.7ms db=6738.7ms (connect=5511.7ms queries=1227.1ms x2)
2026-06-26 23:04:41 | INFO | [PERF] GET /api/notifications/count 200 | api=4274.8ms db=3204.8ms (connect=2037.9ms queries=1166.9ms x2)
